0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/hotel/10.jpg HTTP/1.1" 200 34407
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/team/1.jpg HTTP/1.1" 200 40338
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/hotel/12.jpg HTTP/1.1" 200 17150
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/team/2.jpg HTTP/1.1" 200 61067
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/team/3.jpg HTTP/1.1" 200 57725
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/logos/microsoft.svg HTTP/1.1" 200 4137
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/logos/google.svg HTTP/1.1" 200 3282
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/logos/facebook.svg HTTP/1.1" 200 3223
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/logos/ibm.svg HTTP/1.1" 200 2284
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:16 -0500] "GET /ExploraPeru/assets/img/header-bg.jpg HTTP/1.1" 200 2680926
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:17 -0500] "GET /ExploraPeru/assets/img/close-icon.svg HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:17 -0500] "GET /ExploraPeru/assets/img/map-image.png HTTP/1.1" 200 364038
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:06:18 -0500] "GET /ExploraPeru/assets/img/favicon.ico HTTP/1.1" 200 23462
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "POST /ExploraPeru/Login HTTP/1.1" 200 62181
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/logos/PeruExplora.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/portfolio/1.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/Estilos/Index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/portfolio/2.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/portfolio/3.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/js/scripts.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/portfolio/4.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/portfolio/5.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/portfolio/6.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/Carrusel/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/Carrusel/4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/Carrusel/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/Carrusel/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/Carrusel/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/Carrusel/7.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Dec/2024:23:07:03 -0500] "GET /ExploraPeru/assets/img/Carrusel/8.jpg HTTP/1.1" 304 -
